vm_id;type;cpu_power_MIPS;lambda (s);beta (MB);gamma (MB);P_energy (Watts);distance (km);Dij (MBps);memory_capacity (MB);priority
3;Cloud;8000;0.005;0.001;0.0004;40;150;10;2048;fort 
4;Cloud;9498;0.0127;0.0022;0.0005;58;3.9639;62.3233;512;faible
5;Cloud;11464;0.0106;0.0022;0.0004;74;16.8164;68.4936;1024;faible
6;Cloud;8727;0.0081;0.0018;0.0005;63;6.5334;84.4741;1024;faible
7;Cloud;8557;0.0088;0.0019;0.0005;70;4.7938;80.5694;512;faible
8;Cloud;10369;0.0073;0.0021;0.0004;56;19.0288;98.6253;2048;faible
9;Cloud;11233;0.0088;0.0016;0.0005;63;3.3187;79.8071;1024;faible
10;Cloud;8137;0.0125;0.0018;0.0005;61;10.8813;81.8684;1024;faible
22;Cloud;9272;0.0064;0.0007;0.0004;38;144.4216;6.798;4096;fort
23;Cloud;7350;0.0068;0.0009;0.0004;44;172.7259;19.5767;8192;fort
24;Cloud;9849;0.004;0.001;0.0004;35;107.3774;14.1435;4096;fort
25;Cloud;8010;0.0032;0.0009;0.0005;34;128.979;12.3418;8192;fort
26;Cloud;9942;0.004;0.0011;0.0005;34;245.6433;10.5167;16384;fort
27;Cloud;8529;0.0055;0.001;0.0003;46;164.156;7.7978;4096;fort
28;Cloud;6163;0.0054;0.0011;0.0003;40;145.2992;14.6776;8192;fort
29;Cloud;6697;0.0058;0.0009;0.0005;32;168.2133;6.7021;4096;fort
30;Cloud;9698;0.0065;0.0009;0.0004;46;211.0402;12.9448;8192;fort
