Video;wi;Memory required (MB);Input file size (MB);Output file size (MB)
1;37;125;59;43
2;21;181;68;21
3;71;117;88;84
4;38;167;83;86
5;5;191;95;14
6;64;161;55;45
7;100;181;32;98
8;98;51;65;10
9;62;87;19;51
10;56;102;77;94
11;27;196;66;84
12;85;179;81;17
13;18;70;71;95
14;69;182;25;97
15;92;124;17;60
16;9;119;59;11
17;64;169;80;65
18;3;97;62;71
19;31;159;82;11
20;82;74;97;37
21;35;108;54;53
22;79;127;89;22
23;35;171;17;72
24;36;155;48;87
25;33;167;31;59
26;78;86;82;30
27;76;127;82;82
28;95;76;95;76
29;69;93;93;24
30;29;122;56;11
31;4;132;61;17
32;66;190;35;11
33;14;56;24;75
34;39;95;98;29
35;79;76;16;35
36;55;189;48;41
37;21;72;20;52
38;98;80;35;27
39;59;191;95;40
40;6;161;88;49
41;91;65;42;70
42;34;170;54;58
43;43;149;36;64
44;70;97;20;75
45;66;142;16;50
46;39;54;54;68
47;75;152;21;17
48;82;102;49;32
49;1;76;66;74
50;51;107;64;86
51;93;163;83;20
52;43;186;24;20
53;34;174;38;38
54;91;164;94;32
55;59;87;14;11
56;78;91;53;64
57;43;106;65;13
58;82;167;96;68
59;89;100;41;41
60;47;115;64;62
61;84;129;78;98
62;76;51;22;84
63;81;51;72;56
64;87;102;76;19
65;100;183;97;16
66;10;134;85;51
67;93;70;16;56
68;98;95;43;22
69;87;84;69;92
70;71;95;75;56
71;5;96;11;80
72;73;192;54;64
73;44;193;82;57
74;41;166;89;23
75;32;140;75;10
76;4;164;96;94
77;79;106;28;75
78;87;178;60;56
79;7;161;12;46
80;45;122;30;64
81;59;106;41;59
82;86;56;28;50
83;59;139;26;81
84;12;56;67;67
85;13;191;22;17
86;20;175;72;90
87;34;79;16;94
88;90;100;20;83
89;100;97;78;27
90;52;135;74;23
91;81;190;78;100
92;43;168;46;56
93;89;190;56;48
94;77;176;11;43
95;55;200;50;71
96;65;74;78;71
97;67;155;21;89
98;68;140;98;27
99;45;119;96;70
100;80;86;26;32
101;54;66;60;19
102;32;78;98;95
103;91;99;92;52
104;44;73;33;67
105;76;90;40;39
106;3;83;30;19
107;100;75;48;53
108;13;124;31;57
109;97;190;38;100
110;24;163;31;71
111;1;166;35;24
112;28;101;65;95
113;53;158;76;57
114;58;58;81;14
115;15;197;48;33
116;50;183;38;26
117;10;147;17;99
118;6;120;27;94
119;58;100;14;33
120;21;116;21;35
121;35;102;63;98
